"item","customer","week_end_date","units","sales","inventory_units","inventory_value"
"19150","KMT",2013-06-15,54,1126.98,132,2754.84
"19150","KMT",2013-06-22,73,1586.29,274,5954.02
"19150","KMT",2013-06-29,85,1853.85,264,5757.84
"19150","KMT",2013-07-06,124,2711.88,322,7042.14
"19150","KMT",2013-07-13,112,2490.88,523,11631.52
"19150","KMT",2013-07-20,110,2425.5,287,6328.35
"19150","KMT",2013-07-27,112,2487.52,327,7262.67
"19150","KMT",2013-08-03,92,2010.2,314,6860.9
"19150","KMT",2013-08-10,136,2982.48,334,7324.62
"19150","KMT",2013-08-17,149,3285.45,385,8489.25
"19150","KMT",2013-08-24,167,3653.96,162,3544.56
"19150","KMT",2013-08-31,159,3507.54,413,9110.78
"19150","KMT",2013-09-07,199,4405.86,644,14258.16
"19150","KMT",2013-09-14,217,4802.21,501,11087.13
"19150","KMT",2013-09-21,246,5402.16,587,12890.52
"19150","KMT",2013-09-28,278,6085.42,1363,29836.07
"19150","KMT",2013-10-05,328,7147.12,1134,24709.86
"19150","KMT",2013-10-12,379,8265.99,1313,28636.53
"19150","KMT",2013-10-19,416,9014.72,892,19329.64
"19150","KMT",2013-10-26,426,9286.8,2360,51448
"19150","KMT",2013-11-02,481,10384.79,838,18092.42
"19150","KMT",2013-11-09,545,11717.5,2657,57125.5
"19150","KMT",2013-11-16,627,13179.54,2369,49796.38
"19150","KMT",2013-11-23,712,15194.08,3160,67434.4
"19150","KMT",2013-11-30,1254,27023.7,2863,61697.65
"19150","KMT",2013-12-07,1101,23715.54,2187,47107.98
"19150","KMT",2013-12-14,1321,28110.88,3387,72075.36
"19150","KMT",2013-12-21,1856,40349.44,9298,202138.52
"19150","KMT",2013-12-28,1158,25406.52,5058,110972.52
"19150","LF",2012-01-07,4,98.12,12,294.36
"19150","LF",2012-01-14,7,174.93,24,599.76
"19150","LF",2012-01-21,13,324.87,42,1049.58
"19150","LF",2012-01-28,7,171.18,15,366.814285714286
"19150","LF",2012-02-04,3,71.22,13,308.62
"19150","LF",2012-02-11,7,172.06,12,294.96
